Year,Month,Day,USA
1999,1,1,"4,110"
1999,1,2,"16,494"
1999,1,3,"5,177"
1999,1,4,"23,338"
1999,1,5,"20,698"
1999,1,6,"20,339"
1999,1,7,"19,782"
1999,1,8,"19,529"
1999,1,9,"19,604"
1999,1,10,"6,599"
1999,1,11,"24,552"
1999,1,12,"21,061"
1999,1,13,"16,855"
1999,1,14,"21,423"
1999,1,15,"25,488"
1999,1,16,"24,245"
1999,1,17,"7,803"
1999,1,18,"15,077"
1999,1,19,"21,233"
1999,1,20,"19,955"
1999,1,21,"21,378"
1999,1,22,"26,476"
1999,1,23,"26,781"
1999,1,24,"8,263"
1999,1,25,"21,533"
1999,1,26,"19,383"
1999,1,27,"22,111"
1999,1,28,"25,527"
1999,1,29,"30,095"
1999,1,30,"29,011"
1999,1,31,"7,435"
1999,2,1,"26,995"
1999,2,2,"22,911"
1999,2,3,"26,380"
1999,2,4,"26,276"
1999,2,5,"32,858"
1999,2,6,"28,605"
1999,2,7,"8,730"
1999,2,8,"24,690"
1999,2,9,"25,868"
1999,2,10,"22,463"
1999,2,11,"24,777"
1999,2,12,"32,113"
1999,2,13,"33,631"
1999,2,14,"9,855"
1999,2,15,"20,783"
1999,2,16,"25,706"
1999,2,17,"24,814"
1999,2,18,"26,478"
1999,2,19,"34,069"
1999,2,20,"30,627"
1999,2,21,"8,375"
1999,2,22,"27,927"
1999,2,23,"20,930"
1999,2,24,"26,878"
1999,2,25,"27,446"
1999,2,26,"31,678"
1999,2,27,"33,698"
1999,2,28,"10,762"
1999,3,1,"27,611"
1999,3,2,"25,505"
1999,3,3,"27,410"
1999,3,4,"27,003"
1999,3,5,"30,422"
1999,3,6,"30,941"
1999,3,7,"9,982"
1999,3,8,"25,967"
1999,3,9,"23,557"
1999,3,10,"24,087"
1999,3,11,"24,401"
1999,3,12,"30,777"
1999,3,13,"31,514"
1999,3,14,"9,972"
1999,3,15,"25,679"
1999,3,16,"24,686"
1999,3,17,"23,661"
1999,3,18,"23,987"
1999,3,19,"30,229"
1999,3,20,"30,136"
1999,3,21,"10,662"
1999,3,22,"24,424"
1999,3,23,"24,227"
1999,3,24,"23,657"
1999,3,25,"24,022"
1999,3,26,"29,899"
1999,3,27,"28,728"
1999,3,28,"9,769"
1999,3,29,"24,382"
1999,3,30,"22,839"
1999,3,31,"22,947"
1999,4,1,"28,669"
1999,4,2,"31,446"
1999,4,3,"23,635"
1999,4,4,"2,598"
1999,4,5,"24,814"
1999,4,6,"22,922"
1999,4,7,"21,356"
1999,4,8,"22,289"
1999,4,9,"27,055"
1999,4,10,"24,981"
1999,4,11,"9,220"
1999,4,12,"21,921"
1999,4,13,"20,029"
1999,4,14,"21,047"
1999,4,15,"23,363"
1999,4,16,"27,542"
1999,4,17,"25,100"
1999,4,18,"7,939"
1999,4,19,"21,233"
1999,4,20,"21,902"
1999,4,21,"20,965"
1999,4,22,"22,542"
1999,4,23,"26,429"
1999,4,24,"24,142"
1999,4,25,"7,540"
1999,4,26,"21,391"
1999,4,27,"22,410"
1999,4,28,"21,486"
1999,4,29,"21,895"
1999,4,30,"28,851"
1999,5,1,"24,692"
1999,5,2,"8,330"
1999,5,3,"24,383"
1999,5,4,"22,054"
1999,5,5,"21,299"
1999,5,6,"21,989"
1999,5,7,"25,141"
1999,5,8,"19,913"
1999,5,9,"4,736"
1999,5,10,"20,047"
1999,5,11,"19,075"
1999,5,12,"19,051"
1999,5,13,"20,307"
1999,5,14,"25,576"
1999,5,15,"24,085"
1999,5,16,"7,215"
1999,5,17,"19,476"
1999,5,18,"19,161"
1999,5,19,"19,487"
1999,5,20,"20,096"
1999,5,21,"25,897"
1999,5,22,"23,513"
1999,5,23,"7,554"
1999,5,24,"20,735"
1999,5,25,"20,857"
1999,5,26,"20,097"
1999,5,27,"21,056"
1999,5,28,"25,373"
1999,5,29,"16,641"
1999,5,30,"4,405"
1999,5,31,"4,031"
1999,6,1,"26,204"
1999,6,2,"19,902"
1999,6,3,"22,258"
1999,6,4,"23,283"
1999,6,5,"21,537"
1999,6,6,"6,746"
1999,6,7,"19,786"
1999,6,8,"19,849"
1999,6,9,"16,960"
1999,6,10,"20,149"
1999,6,11,"24,184"
1999,6,12,"20,902"
1999,6,13,"6,735"
1999,6,14,"19,367"
1999,6,15,"19,692"
1999,6,16,"19,002"
1999,6,17,"21,003"
1999,6,18,"25,870"
1999,6,19,"23,633"
1999,6,20,"6,268"
1999,6,21,"19,818"
1999,6,22,"18,848"
1999,6,23,"17,665"
1999,6,24,"18,403"
1999,6,25,"25,161"
1999,6,26,"22,431"
1999,6,27,"6,844"
1999,6,28,"18,464"
1999,6,29,"19,153"
1999,6,30,"19,376"
1999,7,1,"22,786"
1999,7,2,"27,575"
1999,7,3,"17,966"
1999,7,4,"2,567"
1999,7,5,"7,955"
1999,7,6,"20,147"
1999,7,7,"18,194"
1999,7,8,"19,583"
1999,7,9,"23,532"
1999,7,10,"21,542"
1999,7,11,"7,823"
1999,7,12,"12,007"
1999,7,13,"21,157"
1999,7,14,"19,609"
1999,7,15,"20,210"
1999,7,16,"26,670"
1999,7,17,"27,166"
1999,7,18,"7,730"
1999,7,19,"21,222"
1999,7,20,"20,992"
1999,7,21,"19,068"
1999,7,22,"21,304"
1999,7,23,"23,641"
1999,7,24,"22,365"
1999,7,25,"7,428"
1999,7,26,"19,505"
1999,7,27,"20,703"
1999,7,28,"14,498"
1999,7,29,"22,087"
1999,7,30,"27,957"
1999,7,31,"24,487"
1999,8,1,"6,555"
1999,8,2,"21,355"
1999,8,3,"21,374"
1999,8,4,"22,638"
1999,8,5,"21,376"
1999,8,6,"30,269"
1999,8,7,"25,105"
1999,8,8,"8,566"
1999,8,9,"21,732"
1999,8,10,"17,243"
1999,8,11,"26,916"
1999,8,12,"23,971"
1999,8,13,"29,025"
1999,8,14,"28,800"
1999,8,15,"9,405"
1999,8,16,"23,522"
1999,8,17,"22,970"
1999,8,18,"22,419"
1999,8,19,"25,230"
1999,8,20,"30,129"
1999,8,21,"30,044"
1999,8,22,"10,479"
1999,8,23,"24,572"
1999,8,24,"25,401"
1999,8,25,"24,713"
1999,8,26,"25,003"
1999,8,27,"31,103"
1999,8,28,"21,455"
1999,8,29,"13,907"
1999,8,30,"29,782"
1999,8,31,"28,335"
1999,9,1,"14,698"
1999,9,2,"38,894"
1999,9,3,"39,825"
1999,9,4,"32,908"
1999,9,5,"11,020"
1999,9,6,"10,520"
1999,9,7,"28,025"
1999,9,8,"26,195"
1999,9,9,"27,822"
1999,9,10,"34,700"
1999,9,11,"32,473"
1999,9,12,"13,243"
1999,9,13,"28,511"
1999,9,14,"26,004"
1999,9,15,"26,225"
1999,9,16,"26,826"
1999,9,17,"35,647"
1999,9,18,"33,465"
1999,9,19,"11,478"
1999,9,20,"27,852"
1999,9,21,"22,865"
1999,9,22,"29,582"
1999,9,23,"28,735"
1999,9,24,"35,936"
1999,9,25,"35,170"
1999,9,26,"12,805"
1999,9,27,"28,857"
1999,9,28,"28,245"
1999,9,29,"28,150"
1999,9,30,"31,951"
1999,10,1,"41,922"
1999,10,2,"37,346"
1999,10,3,"14,882"
1999,10,4,"32,994"
1999,10,5,"28,534"
1999,10,6,"26,331"
1999,10,7,"30,035"
1999,10,8,"39,331"
1999,10,9,"38,145"
1999,10,10,"13,802"
1999,10,11,"26,426"
1999,10,12,"29,552"
1999,10,13,"32,412"
1999,10,14,"31,263"
1999,10,15,"42,292"
1999,10,16,"37,091"
1999,10,17,"14,335"
1999,10,18,"30,150"
1999,10,19,"28,078"
1999,10,20,"30,997"
1999,10,21,"29,712"
1999,10,22,"43,048"
1999,10,23,"36,403"
1999,10,24,"15,204"
1999,10,25,"31,027"
1999,10,26,"28,857"
1999,10,27,"28,573"
1999,10,28,"32,001"
1999,10,29,"41,164"
1999,10,30,"39,499"
1999,10,31,"14,295"
1999,11,1,"35,694"
1999,11,2,"34,248"
1999,11,3,"34,532"
1999,11,4,"36,348"
1999,11,5,"43,682"
1999,11,6,"41,729"
1999,11,7,"17,821"
1999,11,8,"34,775"
1999,11,9,"34,830"
1999,11,10,"34,478"
1999,11,11,"32,176"
1999,11,12,"48,665"
1999,11,13,"44,865"
1999,11,14,"22,655"
1999,11,15,"34,523"
1999,11,16,"35,202"
1999,11,17,"31,835"
1999,11,18,"36,176"
1999,11,19,"44,824"
1999,11,20,"41,018"
1999,11,21,"15,881"
1999,11,22,"32,309"
1999,11,23,"32,647"
1999,11,24,"43,364"
1999,11,25,"2,576"
1999,11,26,"49,797"
1999,11,27,"34,705"
1999,11,28,"13,980"
1999,11,29,"28,042"
1999,11,30,"30,956"
1999,12,1,"34,860"
1999,12,2,"36,142"
1999,12,3,"46,059"
1999,12,4,"36,373"
1999,12,5,"17,884"
1999,12,6,"37,501"
1999,12,7,"37,944"
1999,12,8,"30,530"
1999,12,9,"41,052"
1999,12,10,"51,818"
1999,12,11,"56,513"
1999,12,12,"21,088"
1999,12,13,"39,984"
1999,12,14,"41,304"
1999,12,15,"44,160"
1999,12,16,"47,188"
1999,12,17,"55,987"
1999,12,18,"58,443"
1999,12,19,"26,328"
1999,12,20,"49,873"
1999,12,21,"47,773"
1999,12,22,"57,265"
1999,12,23,"67,983"
1999,12,24,"48,319"
1999,12,25,0
1999,12,26,"13,428"
1999,12,27,"38,062"
1999,12,28,"36,882"
1999,12,29,"41,352"
1999,12,30,"50,725"
1999,12,31,"40,534"
2000,1,1,"7,386"
2000,1,2,"6,481"
2000,1,3,"27,155"
2000,1,4,"26,427"
2000,1,5,"24,071"
2000,1,6,"24,116"
2000,1,7,"29,819"
2000,1,8,"26,722"
2000,1,9,"9,454"
2000,1,10,"21,618"
2000,1,11,"21,965"
2000,1,12,"20,943"
2000,1,13,"22,116"
2000,1,14,"27,336"
2000,1,15,"25,760"
2000,1,16,"8,607"
2000,1,17,"15,194"
2000,1,18,"21,717"
2000,1,19,"19,631"
2000,1,20,"21,900"
2000,1,21,"26,867"
2000,1,22,"25,803"
2000,1,23,"8,058"
2000,1,24,"20,930"
2000,1,25,"19,425"
2000,1,26,"19,849"
2000,1,27,"22,674"
2000,1,28,"27,761"
2000,1,29,"28,310"
2000,1,30,"7,177"
2000,1,31,"24,700"
2000,2,1,"23,868"
2000,2,2,"29,372"
2000,2,3,"28,705"
2000,2,4,"33,826"
2000,2,5,"33,261"
2000,2,6,"10,630"
2000,2,7,"26,453"
2000,2,8,"24,941"
2000,2,9,"22,986"
2000,2,10,"26,160"
2000,2,11,"31,348"
2000,2,12,"31,895"
2000,2,13,"10,200"
2000,2,14,"24,230"
2000,2,15,"24,804"
2000,2,16,"22,969"
2000,2,17,"25,379"
2000,2,18,"22,826"
2000,2,19,"33,953"
2000,2,20,"9,934"
2000,2,21,"20,000"
2000,2,22,"24,127"
2000,2,23,"23,226"
2000,2,24,"25,116"
2000,2,25,"29,952"
2000,2,26,"29,722"
2000,2,27,"10,671"
2000,2,28,"22,510"
2000,2,29,"24,006"
2000,3,1,"25,963"
2000,3,2,"25,274"
2000,3,3,"33,384"
2000,3,4,"31,745"
2000,3,5,"10,549"
2000,3,6,"24,281"
2000,3,7,"23,144"
2000,3,8,"21,442"
2000,3,9,"22,348"
2000,3,10,"29,396"
2000,3,11,"30,184"
2000,3,12,"10,143"
2000,3,13,"23,761"
2000,3,14,"23,345"
2000,3,15,"21,815"
2000,3,16,"24,574"
2000,3,17,"30,886"
2000,3,18,"31,320"
2000,3,19,"10,780"
2000,3,20,"24,005"
2000,3,21,"24,799"
2000,3,22,"22,503"
2000,3,23,"23,986"
2000,3,24,"29,499"
2000,3,25,"27,503"
2000,3,26,"9,303"
2000,3,27,"22,583"
2000,3,28,"21,272"
2000,3,29,"22,839"
2000,3,30,"23,686"
2000,3,31,"30,231"
2000,4,1,"27,152"
2000,4,2,"8,313"
2000,4,3,"25,843"
2000,4,4,"24,168"
2000,4,5,"22,942"
2000,4,6,"24,232"
2000,4,7,"28,163"
2000,4,8,"26,643"
2000,4,9,"8,274"
2000,4,10,"22,881"
2000,4,11,"23,781"
2000,4,12,"21,685"
2000,4,13,"23,515"
2000,4,14,"28,801"
2000,4,15,"24,332"
2000,4,16,"7,515"
2000,4,17,"19,647"
2000,4,18,"22,587"
2000,4,19,"20,087"
2000,4,20,"23,845"
2000,4,21,"26,315"
2000,4,22,"20,333"
2000,4,23,"2,052"
2000,4,24,"20,266"
2000,4,25,"19,780"
2000,4,26,"18,526"
2000,4,27,"20,088"
2000,4,28,"26,031"
2000,4,29,"21,791"
2000,4,30,"8,101"
2000,5,1,"21,817"
2000,5,2,"20,067"
2000,5,3,"19,601"
2000,5,4,"19,588"
2000,5,5,"24,823"
2000,5,6,"19,524"
2000,5,7,"4,725"
2000,5,8,"21,702"
2000,5,9,"19,253"
2000,5,10,"19,022"
2000,5,11,"6,493"
2000,5,12,5
2000,5,13,2
2000,5,14,"18,288"
2000,5,15,"40,850"
2000,5,16,"24,237"
2000,5,17,"13,947"
2000,5,18,"23,560"
2000,5,19,"24,641"
2000,5,20,"19,744"
2000,5,21,103
2000,5,22,"26,485"
2000,5,23,"19,849"
2000,5,24,"18,519"
2000,5,25,"15,823"
2000,5,26,"25,147"
2000,5,27,"18,864"
2000,5,28,"7,588"
2000,5,29,"4,841"
2000,5,30,"20,566"
2000,5,31,"18,974"
2000,6,1,"21,381"
2000,6,2,"25,406"
2000,6,3,"18,922"
2000,6,4,"6,960"
2000,6,5,"20,824"
2000,6,6,"19,731"
2000,6,7,"17,436"
2000,6,8,"19,453"
2000,6,9,"22,544"
2000,6,10,"19,618"
2000,6,11,"7,342"
2000,6,12,"19,034"
2000,6,13,"18,196"
2000,6,14,"19,355"
2000,6,15,"19,513"
2000,6,16,"26,212"
2000,6,17,"23,146"
2000,6,18,"7,542"
2000,6,19,"18,363"
2000,6,20,"17,456"
2000,6,21,"18,147"
2000,6,22,"17,977"
2000,6,23,"22,897"
2000,6,24,"19,678"
2000,6,25,"6,068"
2000,6,26,"17,016"
2000,6,27,"18,930"
2000,6,28,"17,023"
2000,6,29,"19,425"
2000,6,30,"24,966"
2000,7,1,"19,291"
2000,7,2,"4,552"
2000,7,3,"19,294"
2000,7,4,"2,670"
